iter	MAE
0	373.2385867
1	372.9927949
2	372.7840671
3	372.5392667
4	372.3605613
5	372.1226141
6	371.8830641
7	371.6456216
8	371.488478
9	371.2433892
10	370.9899296
11	370.8149184
12	370.657331
13	370.429384
14	370.2676974
15	370.1054814
16	369.9175852
17	369.7323874
18	369.6112012
19	369.481487
20	369.3082557
21	369.1744292
22	369.0035302
23	368.8603719
24	368.7308705
25	368.5949326
26	368.3954089
27	368.2202937
28	368.1125043
29	367.933671
30	367.8173153
31	367.6830447
32	367.5477594
33	367.3588578
34	367.1855068
35	367.0377634
36	366.8616895
37	366.7054912
38	366.5441866
39	366.3976318
40	366.2923872
41	366.1665905
42	366.015431
43	365.8224338
44	365.6632186
45	365.5431257
46	365.3853751
47	365.2771557
48	365.1210584
49	365.003862
50	364.8484715
51	364.7246611
52	364.5877565
53	364.4317388
54	364.3054943
55	364.1709241
56	364.0591141
57	363.9705742
58	363.8020731
59	363.6673096
60	363.5768155
61	363.4393924
62	363.3499424
63	363.2941907
64	363.1643457
65	363.0317486
66	362.8706227
67	362.7806197
68	362.7152912
69	362.6076165
70	362.4983879
71	362.415534
72	362.3070821
73	362.202321
74	362.0862008
75	361.9523562
76	361.8943098
77	361.8479833
78	361.7738377
79	361.6605537
80	361.5330768
81	361.4053019
82	361.2958963
83	361.2094095
84	361.1151265
85	360.9894132
86	360.9189967
87	360.8392542
88	360.7950312
89	360.7214887
90	360.6037023
91	360.4877103
92	360.4097193
93	360.3121529
94	360.233101
95	360.1634631
96	360.0790835
97	359.998074
98	359.9440275
99	359.8326303
