iter	Passed	Remaining
0	23	4729
1	32	3221
2	41	2709
3	50	2461
4	58	2291
5	67	2186
6	76	2121
7	85	2054
8	94	1999
9	102	1956
10	111	1913
11	119	1878
12	128	1852
13	137	1829
14	147	1818
15	157	1808
16	167	1800
17	176	1789
18	186	1774
19	195	1762
20	205	1754
21	215	1742
22	224	1729
23	233	1710
24	242	1696
25	250	1679
26	259	1661
27	268	1646
28	276	1630
29	285	1616
30	293	1601
31	302	1586
32	310	1572
33	319	1558
34	327	1544
35	336	1531
36	344	1518
37	353	1505
38	361	1492
39	369	1479
40	378	1467
41	386	1454
42	395	1442
43	403	1429
44	411	1419
45	420	1408
46	429	1398
47	438	1387
48	446	1377
49	455	1366
50	464	1356
51	472	1345
52	480	1333
53	489	1323
54	497	1312
55	520	1337
56	528	1326
57	537	1315
58	545	1304
59	554	1294
60	563	1283
61	572	1273
62	581	1263
63	589	1252
64	598	1242
65	606	1231
66	615	1221
67	623	1210
68	631	1199
69	640	1189
70	649	1179
71	658	1169
72	666	1159
73	674	1149
74	684	1140
75	693	1131
76	701	1121
77	710	1111
78	718	1100
79	727	1091
80	735	1080
81	744	1070
82	752	1061
83	761	1051
84	769	1041
85	779	1032
86	788	1024
87	797	1015
88	806	1005
89	815	996
90	824	987
91	833	977
92	841	968
93	850	958
94	859	949
95	868	941
96	878	932
97	888	924
98	899	917
99	924	924
100	935	916
101	946	908
102	956	901
103	970	895
104	979	886
105	988	876
106	997	867
107	1006	857
108	1015	847
109	1023	837
110	1032	827
111	1040	817
112	1049	807
113	1057	797
114	1066	788
115	1074	778
116	1083	768
117	1092	759
118	1101	749
119	1109	739
120	1118	730
121	1126	720
122	1134	710
123	1143	700
124	1151	690
125	1159	681
126	1168	671
127	1176	661
128	1185	652
129	1194	643
130	1203	633
131	1212	624
132	1221	615
133	1230	605
134	1238	596
135	1247	587
136	1256	577
137	1265	568
138	1274	559
139	1282	549
140	1291	540
141	1300	530
142	1308	521
143	1316	512
144	1325	502
145	1333	493
146	1342	484
147	1355	476
148	1365	467
149	1374	458
150	1383	448
151	1392	439
152	1401	430
153	1410	421
154	1418	411
155	1427	402
156	1435	393
157	1444	383
158	1452	374
159	1461	365
160	1470	356
161	1479	346
162	1487	337
163	1495	328
164	1504	319
165	1512	309
166	1521	300
167	1529	291
168	1538	282
169	1547	273
170	1556	263
171	1565	254
172	1581	246
173	1591	237
174	1600	228
175	1610	219
176	1620	210
177	1629	201
178	1638	192
179	1647	183
180	1655	173
181	1663	164
182	1672	155
183	1681	146
184	1689	136
185	1698	127
186	1707	118
187	1715	109
188	1724	100
189	1732	91
190	1741	82
191	1749	72
192	1758	63
193	1767	54
194	1776	45
195	1785	36
196	1793	27
197	1803	18
198	1820	9
199	1829	0
